GEO_ID,NAME,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
id,Geographic Area Name,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration
0500000US39151,"Stark County, Ohio",168075,1111,9589,26573,4697,18901,8716,3380,10095,13172,41581,17562,8054,4644
0500000US39153,"Summit County, Ohio",249952,810,11149,36528,8520,30411,11143,4102,19316,23560,61816,21761,12523,8313
0500000US39155,"Trumbull County, Ohio",86807,672,4580,15647,1634,11219,4845,1649,3874,6789,20045,8650,4006,3197
0500000US39157,"Tuscarawas County, Ohio",40524,613,1846,10403,702,5025,2021,364,1424,2460,8822,3847,2028,969
0500000US39165,"Warren County, Ohio",101692,237,4601,19719,3418,13284,2754,1806,6955,11866,22346,6920,3959,3827
0500000US39169,"Wayne County, Ohio",53009,1911,3212,11152,1064,7080,3077,626,2548,3136,12248,3618,2512,825
0500000US39173,"Wood County, Ohio",57825,293,2407,9656,1550,7081,2785,1162,2146,4161,17059,4550,3043,1932
0500000US40017,"Canadian County, Oklahoma",56088,1994,3128,3903,3096,6314,2225,1080,4021,4951,12844,5259,2342,4931
0500000US40027,"Cleveland County, Oklahoma",122363,2429,7759,7817,1886,14464,4654,2339,7628,10028,32341,11460,7410,12148
0500000US40031,"Comanche County, Oklahoma",47730,1280,3225,4408,445,5893,2043,691,2568,3639,10829,6132,1657,4920
0500000US40037,"Creek County, Oklahoma",30677,943,2970,4180,995,3543,2639,906,1147,1889,6356,1990,2014,1105
0500000US40101,"Muskogee County, Oklahoma",28040,168,1241,4387,676,2391,1671,624,1319,778,7411,3149,1853,2372
0500000US40109,"Oklahoma County, Oklahoma",336125,7049,24860,22160,10208,39822,16970,8872,25148,31191,73548,34035,18490,23772
0500000US40119,"Payne County, Oklahoma",38623,1146,2231,2797,1117,4631,1222,407,1597,1602,15155,3076,2663,979
0500000US40125,"Pottawatomie County, Oklahoma",30803,744,2647,3046,425,2578,1577,202,1397,2373,6994,3895,1858,3067
0500000US40131,"Rogers County, Oklahoma",41219,572,2767,7403,1762,4200,3577,1020,1814,3801,8335,2418,2330,1220
0500000US40143,"Tulsa County, Oklahoma",284180,3961,18892,32579,9395,32504,14437,9696,19728,29988,61899,28613,13866,8622
0500000US40145,"Wagoner County, Oklahoma",35446,594,2833,4196,1054,4358,1984,955,2560,3010,7659,3153,1631,1459
0500000US41003,"Benton County, Oregon",40325,1547,1287,2574,433,5815,1096,231,1504,4593,14875,3329,1256,1785
0500000US41005,"Clackamas County, Oregon",174392,3991,13533,20711,7586,21493,9137,2559,14675,18850,33954,12856,8761,6286
0500000US41017,"Deschutes County, Oregon",66715,851,5085,3873,1027,7310,2876,1295,4405,9547,14125,8908,4401,3012
0500000US41019,"Douglas County, Oregon",38593,2079,2433,3755,1397,5094,1691,385,943,2254,8862,4992,1884,2824
0500000US41029,"Jackson County, Oregon",84959,2825,4347,6370,1657,12897,3752,2477,5521,6909,20201,9237,4891,3875
0500000US41033,"Josephine County, Oregon",30625,1247,1957,2022,516,3937,1768,806,2055,1419,6857,2823,2986,2232
0500000US41035,"Klamath County, Oregon",27138,2363,1804,1933,248,4222,1678,425,697,2264,6178,2372,1319,1635
0500000US41039,"Lane County, Oregon",155311,3127,9152,14376,6423,16722,5242,2334,8969,14626,44941,14497,9053,5849
0500000US41043,"Linn County, Oregon",46951,3044,3195,6749,1294,7485,1246,345,2646,3173,10480,2525,2461,2308
0500000US41047,"Marion County, Oregon",130889,8957,6307,14318,4264,15032,5263,1542,6568,10214,29999,9154,5973,13298
0500000US41051,"Multnomah County, Oregon",359931,3409,16354,36153,10562,38940,16742,10247,22367,44331,89307,39111,18791,13617
0500000US41053,"Polk County, Oregon",31589,1538,1144,1728,621,3460,912,1037,1326,2465,8912,2458,1805,4183
0500000US41059,"Umatilla County, Oregon",31498,3409,972,3271,681,5021,1796,617,567,1962,5994,3697,1148,2363
0500000US41067,"Washington County, Oregon",255515,4060,12792,42361,8099,30273,8776,4955,21608,30207,51314,19217,12665,9188
0500000US41071,"Yamhill County, Oregon",43739,2207,2162,6092,1204,4932,1756,1267,1643,3427,9668,4865,2600,1916
0500000US42001,"Adams County, Pennsylvania",52368,1649,5076,8767,1145,5067,3403,914,2210,3475,11161,4687,1637,3177
0500000US42003,"Allegheny County, Pennsylvania",589876,2044,29394,45760,16253,66817,27863,13125,51590,64534,170789,55039,27198,19470
0500000US42005,"Armstrong County, Pennsylvania",31764,1247,2347,4657,695,3524,2529,507,988,2085,8345,2067,1677,1096
0500000US42007,"Beaver County, Pennsylvania",77709,345,4953,8502,2116,10053,7188,794,5057,7255,18884,6417,4123,2022
0500000US42011,"Berks County, Pennsylvania",193364,3283,10555,32843,6246,21699,9077,3462,10613,16398,49407,14904,10856,4021
0500000US42013,"Blair County, Pennsylvania",58564,902,4395,8144,2048,8902,3541,993,2109,3361,14575,4844,2737,2013
0500000US42017,"Bucks County, Pennsylvania",318956,825,20568,38083,10065,43713,12667,6685,22448,37907,76720,25541,13820,9914
0500000US42019,"Butler County, Pennsylvania",88193,1026,5649,11914,4282,12458,5195,1373,4719,8778,19203,8046,2607,2943
0500000US42021,"Cambria County, Pennsylvania",62467,1296,4075,6509,1875,7739,3668,956,2766,4512,16212,5094,3523,4242
0500000US42025,"Carbon County, Pennsylvania",27665,155,2158,4374,520,3528,2458,466,695,2074,5998,2669,989,1581
0500000US42027,"Centre County, Pennsylvania",73162,1256,3310,6465,774,8400,2088,774,3896,4476,29332,7405,3218,1768
0500000US42029,"Chester County, Pennsylvania",252993,6745,12814,33512,7384,28157,8482,4615,24447,36113,57072,17876,10254,5522
0500000US42033,"Clearfield County, Pennsylvania",33430,1570,2510,3529,775,4126,2626,274,1233,1873,9132,1981,2308,1493
0500000US42037,"Columbia County, Pennsylvania",30787,501,1542,5770,825,2915,1467,356,1539,1712,9415,1987,1566,1192
0500000US42039,"Crawford County, Pennsylvania",37687,1392,2382,7199,761,4348,1770,546,1190,1847,9355,3164,2141,1592
0500000US42041,"Cumberland County, Pennsylvania",119635,1251,6568,9523,4274,15038,6520,1295,9874,11701,27464,9050,5448,11629
0500000US42043,"Dauphin County, Pennsylvania",129444,948,7709,11410,4473,13709,8141,1500,10587,12614,30134,11069,4318,12832
0500000US42045,"Delaware County, Pennsylvania",265831,932,14480,22333,5459,26050,13653,6174,22735,29857,80923,21599,13044,8592
0500000US42049,"Erie County, Pennsylvania",125071,879,5572,23546,2529,13718,4958,1374,5555,7728,35734,12285,6002,5191
0500000US42051,"Fayette County, Pennsylvania",52157,1242,2954,4997,1952,7535,3105,1271,2109,3251,13060,6041,2351,2289
0500000US42055,"Franklin County, Pennsylvania",68976,2286,4639,10932,1730,8304,2816,1037,3130,4317,15550,5894,4002,4339
0500000US42063,"Indiana County, Pennsylvania",38219,1887,2895,3856,1170,4001,2273,348,2090,1418,10986,3386,2675,1234
0500000US42069,"Lackawanna County, Pennsylvania",96839,396,4485,10634,3421,10995,4126,1707,6122,6630,29419,7331,5042,6531
0500000US42071,"Lancaster County, Pennsylvania",249828,7495,19926,42392,10453,31478,10551,3604,14267,17670,54987,17781,12097,7127
0500000US42073,"Lawrence County, Pennsylvania",38593,491,2806,4545,1190,6417,2812,409,1571,2624,9590,3307,1647,1184
0500000US42075,"Lebanon County, Pennsylvania",62284,1512,2905,8466,3103,7545,3097,1432,2822,3623,17097,4552,3134,2996
0500000US42077,"Lehigh County, Pennsylvania",160616,403,7957,23169,4534,19524,7275,5031,8688,18265,43282,11783,6586,4119
0500000US42079,"Luzerne County, Pennsylvania",142502,1017,6521,18953,5246,20031,9319,2346,7743,11345,35853,11524,5017,7587
0500000US42081,"Lycoming County, Pennsylvania",52784,538,2861,8964,1165,6666,3578,723,2522,3694,11913,4342,3227,2591
0500000US42085,"Mercer County, Pennsylvania",48826,841,2453,8755,943,5869,2505,723,1884,2824,14314,3491,1744,2480
0500000US42089,"Monroe County, Pennsylvania",73031,1006,4466,6480,1742,11605,4960,912,3912,5665,16519,9462,2701,3601
0500000US42091,"Montgomery County, Pennsylvania",411517,1750,23472,47202,12669,43224,14631,9183,41825,58720,102572,26997,17919,11353
0500000US42095,"Northampton County, Pennsylvania",136335,207,6513,21400,4623,15492,6885,3857,8513,13271,35865,9957,5881,3871
0500000US42097,"Northumberland County, Pennsylvania",41077,1538,2570,5145,994,6271,2232,908,1713,1666,10454,3385,1222,2979
0500000US42101,"Philadelphia County, Pennsylvania",597521,1065,21677,42841,11982,60638,30368,11409,36268,70778,182275,58846,30753,38621
0500000US42107,"Schuylkill County, Pennsylvania",63159,1674,3394,10667,1659,9500,4118,1172,1938,4098,15447,3309,2847,3336
0500000US42111,"Somerset County, Pennsylvania",32971,1612,2404,4869,812,3785,1884,575,1075,1971,6722,3863,1473,1926
0500000US42125,"Washington County, Pennsylvania",95951,2157,7583,10490,2800,9270,6081,1369,6202,8670,23499,9692,4951,3187
0500000US42129,"Westmoreland County, Pennsylvania",167264,1068,10009,22305,6508,21512,11069,2631,7741,14426,42758,12021,9100,6116
0500000US42133,"York County, Pennsylvania",215887,2060,16491,37638,6398,26091,11001,3047,10571,19429,47540,15515,10705,9401
0500000US44003,"Kent County, Rhode Island",80650,236,3814,9704,2431,12274,3337,1269,7314,6645,18763,7721,3360,3782
0500000US44005,"Newport County, Rhode Island",43217,218,1910,3320,434,4286,1605,389,2688,6116,10100,7051,1649,3451
0500000US44007,"Providence County, Rhode Island",279266,297,11888,36307,8819,36297,9960,5827,19035,25109,73275,28482,12004,11966
0500000US44009,"Washington County, Rhode Island",63718,131,4952,5786,824,6981,1666,699,3778,5258,18505,9069,2434,3635
0500000US45003,"Aiken County, South Carolina",65366,876,5158,12113,1387,7090,3579,1214,2956,6271,14195,4757,2399,3371
0500000US45007,"Anderson County, South Carolina",77245,717,4689,17369,1762,10173,3758,589,2787,4970,18361,5131,4164,2775
0500000US45013,"Beaufort County, South Carolina",61870,736,6460,3402,1256,8541,1170,1529,4812,8046,11081,7966,2819,4052
0500000US45015,"Berkeley County, South Carolina",75784,64,6198,8767,1702,8645,4943,2344,3335,7694,15516,7535,3873,5168
0500000US45019,"Charleston County, South Carolina",166893,1130,11658,10606,3693,19761,7935,4608,9211,22060,37293,21054,8380,9504
0500000US45031,"Darlington County, South Carolina",24910,615,1083,4946,890,3640,1633,167,1361,1107,5396,1875,1383,814
0500000US45035,"Dorchester County, South Carolina",61291,268,3953,8134,1505,9209,3069,367,3177,4768,13649,6145,2255,4792
0500000US45041,"Florence County, South Carolina",55503,385,2179,5115,1368,6899,2988,595,4650,5013,14801,4959,3972,2579
0500000US45045,"Greenville County, South Carolina",205346,750,14704,31765,8711,21177,6411,3987,11544,24432,42950,22735,10370,5810
0500000US45047,"Greenwood County, South Carolina",28642,412,1645,4814,860,3289,1471,57,715,3149,8233,2086,921,990
0500000US45051,"Horry County, South Carolina",118696,902,9721,4126,1975,19823,3907,1938,7652,9939,22921,24771,5505,5516
0500000US45057,"Lancaster County, South Carolina",29292,553,2527,4169,1136,4243,1608,610,3216,2323,5412,1147,1083,1265
0500000US45059,"Laurens County, South Carolina",27321,395,2507,6304,771,3009,1394,626,1192,1898,6868,1009,584,764
0500000US45063,"Lexington County, South Carolina",126322,2302,8297,12256,4305,15717,6176,1660,9775,11217,29119,9469,6183,9846
0500000US45073,"Oconee County, South Carolina",31197,498,2436,4938,699,2833,1764,116,1601,2657,8014,3438,1380,823
0500000US45075,"Orangeburg County, South Carolina",31553,1008,747,4760,648,3602,1280,288,1245,1646,9122,2818,1612,2777
0500000US45077,"Pickens County, South Carolina",47668,512,4813,7099,1034,5821,2567,438,1734,3484,11173,5155,1914,1924
0500000US45079,"Richland County, South Carolina",172686,543,9214,11214,3482,20011,6954,4588,13910,17698,44105,17604,8011,15352
0500000US45083,"Spartanburg County, South Carolina",122856,1134,7651,25358,4979,16055,6053,2710,4785,9285,23928,11910,6508,2500
0500000US45085,"Sumter County, South Carolina",38806,264,2881,4454,418,5149,1075,439,1332,2991,10785,2647,2641,3730
0500000US45091,"York County, South Carolina",104892,680,5572,14608,4901,11701,6426,1566,8101,10751,23550,8828,4736,3472
0500000US46099,"Minnehaha County, South Dakota",90822,1333,4568,9994,3274,11358,3177,1432,12323,6061,23590,7211,3680,2821
0500000US46103,"Pennington County, South Dakota",49655,1247,2599,2071,1518,5238,2781,1079,3412,5855,12066,7018,1746,3025
0500000US47001,"Anderson County, Tennessee",32496,256,1978,5050,627,3972,1485,659,958,4361,7738,2787,690,1935
0500000US47009,"Blount County, Tennessee",53888,470,4271,6846,1603,7454,2803,938,3255,6815,11844,3603,1916,2070
0500000US47011,"Bradley County, Tennessee",41384,158,2540,7000,1257,5392,2502,824,1891,5361,9106,2314,2769,270
0500000US47037,"Davidson County, Tennessee",303923,1007,19621,19955,7549,38244,11799,9415,19974,30115,77468,37083,16588,15105
0500000US47059,"Greene County, Tennessee",27047,510,2097,5641,251,3755,1457,344,1480,1502,6802,1999,550,659
0500000US47065,"Hamilton County, Tennessee",157077,323,11260,19729,3991,15643,10813,2935,12570,17025,32974,16706,7579,5529
0500000US47093,"Knox County, Tennessee",202584,1053,14186,15422,8072,27969,8359,4973,11654,26239,50341,15979,11804,6533
0500000US47113,"Madison County, Tennessee",40867,427,2946,4102,989,4119,1987,367,1396,3104,13623,3887,1571,2349
0500000US47119,"Maury County, Tennessee",35773,421,2534,4510,562,5171,806,384,1827,3343,7417,5108,1892,1798
0500000US47125,"Montgomery County, Tennessee",69666,125,4333,8612,1526,9561,4213,939,3320,6432,16018,6119,2731,5737
0500000US47141,"Putnam County, Tennessee",31326,205,1980,2850,490,6036,1510,184,1902,1899,8136,2621,1843,1670
0500000US47147,"Robertson County, Tennessee",29688,853,1758,5201,652,3583,2369,742,1068,2551,6510,979,1826,1596
0500000US47149,"Rutherford County, Tennessee",125127,544,8560,15038,4201,14900,6591,3851,9659,12321,29373,8387,4926,6776
0500000US47155,"Sevier County, Tennessee",41526,283,2846,2410,582,7981,1597,463,3386,3823,5737,8608,1918,1892
0500000US47157,"Shelby County, Tennessee",407623,707,21926,32573,15749,45463,45583,6493,22904,42147,91893,40261,21577,20347
0500000US47163,"Sullivan County, Tennessee",63476,830,4080,10638,746,9561,2604,1137,2404,5058,16000,5621,2475,2322
0500000US47165,"Sumner County, Tennessee",73536,675,4477,9122,2760,10682,3557,1699,4644,6994,13232,8336,4156,3202
0500000US47179,"Washington County, Tennessee",55280,124,4085,5163,1102,6013,1913,1475,3373,3152,16778,7155,2984,1963
0500000US47187,"Williamson County, Tennessee",87222,783,4618,5651,2929,8792,3188,2956,8348,11838,23681,6858,4391,3189
0500000US47189,"Wilson County, Tennessee",50865,256,4128,5252,1855,5657,2909,1056,4588,4169,12234,3499,1912,3350
0500000US48005,"Angelina County, Texas",33286,1455,2016,4064,592,4052,1432,795,1191,1988,9812,2536,1946,1407
0500000US48021,"Bastrop County, Texas",32340,615,4621,2202,922,3541,1984,198,1279,3144,7048,2031,1273,3482
0500000US48027,"Bell County, Texas",119458,951,6982,8121,2467,14503,4888,2087,5823,9700,32644,13769,5218,12305
0500000US48029,"Bexar County, Texas",760305,4927,57977,44085,17856,91582,33852,16812,68081,82671,175816,80070,39182,47394
0500000US48037,"Bowie County, Texas",39280,438,2319,2863,1140,4879,1922,118,2300,2308,9484,3591,2196,5722
0500000US48039,"Brazoria County, Texas",143049,3314,13758,18032,4932,14743,8227,2308,6733,15364,34735,8339,6193,6371
0500000US48041,"Brazos County, Texas",89526,2456,6098,5826,1678,8656,2318,724,4365,9716,30807,9677,4811,2394
0500000US48061,"Cameron County, Texas",142057,3544,11428,6469,3182,15396,7922,3609,4256,11143,42816,13255,9285,9752
0500000US48085,"Collin County, Texas",398911,4111,15700,43305,10955,47932,12804,16902,43698,63104,81520,28859,15940,14081
0500000US01003,"Baldwin County, Alabama",77263,1302,6489,6134,2131,9525,3557,940,5893,9873,14753,8257,3575,4834
0500000US01015,"Calhoun County, Alabama",42768,337,1371,7868,750,5706,1626,779,2234,3776,8351,3799,2440,3731
0500000US01043,"Cullman County, Alabama",30476,630,1836,5283,503,4777,1393,631,1720,1009,6683,2351,2183,1477
0500000US01049,"DeKalb County, Alabama",27947,901,1484,7691,1004,3179,1140,262,1204,1106,4761,2834,1726,655
0500000US01051,"Elmore County, Alabama",34858,560,2721,4973,1204,4388,1253,251,2331,2776,7873,1827,1203,3498
0500000US01055,"Etowah County, Alabama",38584,519,3425,5646,702,4140,2116,319,1221,3266,9302,2399,3309,2220
0500000US01069,"Houston County, Alabama",45470,790,2967,4237,1897,6225,2838,670,1980,3458,9843,5200,2658,2707
0500000US01073,"Jefferson County, Alabama",289454,1761,17682,27091,8859,34024,14727,8309,25021,29164,67630,26357,15828,13001
0500000US01077,"Lauderdale County, Alabama",39581,946,3579,4285,1364,6047,2474,439,1771,2710,8624,3551,3148,643
0500000US01081,"Lee County, Alabama",63718,763,3315,7701,765,7232,1976,1198,3862,4520,18639,7234,3187,3326
0500000US01083,"Limestone County, Alabama",34378,258,2207,8203,927,3043,1627,306,2091,4675,5601,1972,1662,1806
0500000US01089,"Madison County, Alabama",156411,569,9917,18415,2697,15082,4612,4594,7674,28194,31686,12588,7637,12746
0500000US01095,"Marshall County, Alabama",39438,564,3866,8567,1635,5280,1069,827,1374,2421,7018,1647,1809,3361
0500000US01097,"Mobile County, Alabama",170552,2025,10788,21036,5355,22541,9296,2413,8469,17946,38617,17012,8326,6728
0500000US01101,"Montgomery County, Alabama",99081,535,3959,9332,2467,11904,3929,833,5802,9252,20680,10844,6779,12765
0500000US01103,"Morgan County, Alabama",53198,495,3745,11347,1692,5495,3281,783,2244,5808,7868,6052,2530,1858
0500000US01115,"St. Clair County, Alabama",35991,385,2902,4557,2055,4935,2201,697,2000,2932,6655,1684,1929,3059
0500000US01117,"Shelby County, Alabama",97212,1352,7570,6349,3661,14025,3609,3074,10130,12006,18850,7566,4696,4324
0500000US01121,"Talladega County, Alabama",28717,996,2511,4611,819,3636,1274,374,1778,1479,6055,1566,2074,1544
0500000US01125,"Tuscaloosa County, Alabama",85616,1946,7675,9310,1941,9871,3066,1688,4077,7110,23788,7716,4465,2963
0500000US01127,"Walker County, Alabama",21721,1898,1951,2022,712,3180,1508,253,962,792,5259,1663,609,912
0500000US02020,"Anchorage Municipality, Alaska",144265,3948,8275,3041,3124,17224,11963,3450,7661,14251,32365,13992,6591,18380
0500000US02090,"Fairbanks North Star Borough, Alaska",45393,2368,4517,1050,1430,4399,2796,821,2439,2970,11431,3704,1852,5616
0500000US02170,"Matanuska-Susitna Borough, Alaska",39263,2746,4415,1157,456,4706,2073,831,757,3159,9592,2864,1641,4866
0500000US04001,"Apache County, Arizona",17667,352,1759,301,205,1355,1099,138,365,307,6781,2022,272,2711
0500000US04003,"Cochise County, Arizona",48470,1005,2719,1147,1811,4935,2557,639,1697,5887,10317,5204,2168,8384
0500000US04005,"Coconino County, Arizona",59481,1057,3239,3682,507,7699,3410,618,1981,3626,16638,9430,2844,4750
0500000US04013,"Maricopa County, Arizona",1673777,10374,110893,135976,45665,210496,88220,34315,152074,203692,364334,165940,76649,75149
0500000US04015,"Mohave County, Arizona",72433,814,5585,3855,787,11356,4309,1335,3754,3670,15279,13699,2766,5224
0500000US04017,"Navajo County, Arizona",33460,492,2646,1205,416,4357,1930,467,1475,2434,10490,3630,920,2998
0500000US04019,"Pima County, Arizona",412292,3711,23958,29763,5998,51249,13845,7694,20419,50655,107016,46766,24140,27078
0500000US04021,"Pinal County, Arizona",132869,2521,12261,9604,2841,19050,7142,2628,8077,13423,26202,10872,6350,11898
0500000US04025,"Yavapai County, Arizona",79070,1986,5458,3634,2189,10348,2559,1359,5447,8338,17351,12467,3635,4299
0500000US04027,"Yuma County, Arizona",68598,6069,3504,2672,1943,8865,2187,1116,1390,6379,13237,9833,3122,8281
0500000US05007,"Benton County, Arkansas",101933,2710,6275,15032,1700,23913,5364,978,3704,8774,17970,8073,4237,3203
0500000US05031,"Craighead County, Arkansas",42183,1087,4200,6288,1189,4937,939,511,2199,2263,12185,3422,1899,1064
0500000US05045,"Faulkner County, Arkansas",53068,2304,3662,4220,1130,5818,3077,1103,2888,5158,13043,5206,2538,2921
0500000US05051,"Garland County, Arkansas",37505,573,3177,3597,1021,5337,1671,319,1470,2619,10147,3600,2920,1054
0500000US05069,"Jefferson County, Arkansas",29396,480,1232,4652,1404,3232,1766,494,814,2440,7092,1215,1545,3030
0500000US05085,"Lonoke County, Arkansas",31106,784,3093,2573,1332,4306,2147,491,1455,2466,5924,1616,1753,3166
0500000US05119,"Pulaski County, Arkansas",177729,929,8180,12574,4541,17538,9592,4261,11816,17717,51634,17720,8759,12468
0500000US05125,"Saline County, Arkansas",49447,281,4154,3577,1959,6677,1979,2306,3201,3681,12667,3359,2271,3335
0500000US05131,"Sebastian County, Arkansas",55223,1388,2238,10468,1560,7884,3154,373,1668,2662,13411,5683,2496,2238
0500000US05143,"Washington County, Arkansas",96558,2271,6013,15319,3511,12501,4481,1499,4380,7151,23190,8977,4341,2924
0500000US05145,"White County, Arkansas",32572,1295,2254,3130,674,5770,1770,642,1273,2287,7162,2841,1989,1485
0500000US06001,"Alameda County, California",699389,1936,36459,74342,23531,71978,37659,21330,40478,113728,157244,56708,35947,28049
0500000US06007,"Butte County, California",88041,2925,4578,5389,2197,12104,3661,1695,4209,10004,24315,8733,4482,3749
0500000US06013,"Contra Costa County, California",480363,3392,31364,37735,13364,49304,26338,16307,44089,66688,106913,38828,26126,19915
0500000US06017,"El Dorado County, California",78614,856,6080,5394,1437,8111,2582,1491,5857,10867,14943,10163,3971,6862
0500000US06019,"Fresno County, California",363891,36019,20052,22445,13572,44280,16947,4492,20988,33642,81279,30470,17149,22556
0500000US06023,"Humboldt County, California",61379,2228,5013,3629,1458,8744,2607,1346,2724,4496,13483,9096,3179,3376
0500000US06025,"Imperial County, California",56573,3990,3733,3828,1835,5957,4539,891,2344,3515,13273,3756,2722,6190
0500000US06029,"Kern County, California",310764,48124,18675,15711,9392,36365,14899,3188,12916,27057,61275,24801,15830,22531
0500000US06031,"Kings County, California",52477,9245,1958,3859,1805,5009,1046,209,1542,4213,10233,4281,1750,7327
0500000US06033,"Lake County, California",20375,281,1521,531,440,2047,786,294,1654,1417,5376,2370,2053,1605
0500000US06037,"Los Angeles County, California",4391268,24261,235752,473710,159909,468911,227934,188861,279308,545308,921140,436463,269174,160537
0500000US06039,"Madera County, California",54262,11933,2742,4447,1122,6193,2946,870,2561,2407,10971,2953,2114,3003
0500000US06041,"Marin County, California",119487,640,6769,6563,3006,12192,3051,3248,12374,22050,27193,11701,6654,4046
0500000US06045,"Mendocino County, California",35851,2826,3644,2773,1037,3872,1102,345,1568,2199,8257,4340,2284,1604
0500000US06047,"Merced County, California",94048,11660,5109,10231,4241,12277,4421,1329,3193,5328,19278,7480,4604,4897
0500000US06053,"Monterey County, California",175878,26052,9987,8457,4334,21896,5566,2714,8078,16515,33312,17801,10135,11031
0500000US06055,"Napa County, California",62966,4341,3482,7629,2265,6491,1697,1204,3858,5752,12983,7471,2978,2815
0500000US06057,"Nevada County, California",42705,749,3651,2711,741,5659,2045,1041,3278,4083,9457,4502,2209,2579
0500000US06059,"Orange County, California",1414260,5759,81763,194612,55250,157885,47279,29325,126127,189056,261950,142182,75302,47770
0500000US06061,"Placer County, California",151654,726,11286,10868,3886,21120,8420,2908,13411,18506,31845,11222,6180,11276
0500000US06065,"Riverside County, California",854828,14996,68272,75925,30577,118193,46043,14982,46462,84225,171551,92612,45377,45613
0500000US06067,"Sacramento County, California",595578,3978,36186,35357,16876,70621,24799,12303,41920,65924,134284,52028,29908,71394
